date,close,close,close,close,close,close,close,Volume USD,CapRealUSD,0,0,1,2,3,4,5,6,TxTfrValMedUSD,TxCnt,IssContNtv,FeeTotUSD,FeeMedUSD,AdrActCnt,DiffMean,BlkCnt,BlkSizeMeanByte,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2015-01-08,0.0,0.0,0.0,0.04500038912924964,-0.03273155150004037,-0.13405961291820567,-0.1334275216231804,0.0,4346123333.007502,0.0,0.0,0.0,0.0377535197441142,0.07684900724477897,0.06311105156382128,0.009644018808821812,0.015924904377003526,7.421625035493859,105611.0,3675.0,4555.701879518474,0.0284342391876096,230454.0,40640955016.5765,147.0,393141.897959184,265946.0,346322.33214573,98474120.28242464,0,0,0,0,1,0,0
2015-01-09,0.0,0.0,0.0,0.0,0.04500038912924964,-0.03273155150004037,-0.13405961291820567,0.0,4338479859.51522,0.0,0.0,0.0,0.0,0.0377535197441142,0.07684900724477897,0.06311105156382128,0.009644018808821812,4.282903694673553,100397.0,3500.0,4426.480285736057,0.0292501114552893,237524.0,40640955016.5765,140.0,400166.492857143,271077.0,350036.12585661,102385956.94683516,1,0,0,0,0,0,0
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.04500038912924964,-0.03273155150004037,0.0,4334403134.885617,0.0,0.0,0.0,0.0,0.0,0.0377535197441142,0.07684900724477897,0.06311105156382128,0.7499493209415942,106342.0,3675.0,4256.871029055985,0.0276230532144944,274443.0,40640955016.5765,147.0,402864.476190476,332896.0,295695.27078265,81680062.00103472,0,0,1,0,0,0,0
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.04500038912924964,0.0,4332632017.7140465,0.0,0.0,0.0,0.0,0.0,0.0,0.0377535197441142,0.07684900724477897,1.505799527507202,89751.0,3875.0,3542.73673975706,0.0268755515488019,249636.0,40640955016.5764,155.0,332663.722580645,268093.0,258128.75560336,69373526.7744619,0,0,0,1,0,0,0
2015-01-12,-0.031711406449796975,-0.031711406449796975,-0.031711406449796975,-0.031711406449796975,-0.031711406449796975,-0.031711406449796975,-0.031711406449796975,7909.25,4327604372.424486,0.03317349851670797,0.0,0.0,0.0,0.0,0.0,0.0,0.0377535197441142,6.71543080070135,100751.0,3550.0,8895.56125546799,0.0268617232028054,222808.0,41274258467.7516,142.0,395133.767605634,244475.0,266744.51308496,71652172.76355298,0,1,0,0,0,0,0
2015-01-13,-0.19342111577596555,-0.22513252222576252,-0.22513252222576252,-0.22513252222576252,-0.22513252222576252,-0.22513252222576252,-0.22513252222576252,57653.9,4309652743.2174635,0.21752764482587897,0.019924543572347346,0.0,0.0,0.0,0.0,0.0,0.0,14.437524537947157,98240.0,3175.0,3387.612219154277,0.0224108117767388,250066.0,43971662056.0896,127.0,458298.196850394,255680.0,459252.0000025,102922101.30146874,0,0,0,0,0,1,0
2015-01-14,-0.3105663662853688,-0.5039874820613344,-0.5356988885111313,-0.5356988885111313,-0.5356988885111313,-0.5356988885111313,-0.5356988885111313,123599.76,4277196797.593419,0.40955934149077716,0.13115748486227846,0.019924543572347346,0.0,0.0,0.0,0.0,0.0,10.732162388843927,106993.0,3625.0,2743.9341285532255,0.0175637640561075,257446.0,43971662056.0896,145.0,428812.427586207,275778.0,597501.58338704,104943768.33760612,0,0,0,0,0,0,1
2015-01-15,0.25382841234958686,-0.05673795393578196,-0.2501590697117475,-0.2818704761615445,-0.2818704761615445,-0.2818704761615445,-0.2818704761615445,86158.17,4275572249.7317696,0.3686075949367089,0.24949280071891705,0.13115748486227846,0.019924543572347346,0.0,0.0,0.0,0.0,10.6170505698422,119661.0,3775.0,3634.7622623545226,0.0212341011396844,262427.0,43971662056.0896,151.0,419381.80794702,300792.0,414622.24372087,88041306.57931828,0,0,0,0,1,0,0
2015-01-16,-0.010640190896432422,0.24318822145315444,-0.06737814483221438,-0.26079926060817993,-0.2925106670579769,-0.2925106670579769,-0.2925106670579769,34657.09,4270411514.510127,0.11923360003798768,0.2239302854191853,0.24949280071891705,0.13115748486227846,0.019924543572347346,0.0,0.0,0.0,7.245072649298643,104742.0,3475.0,3025.0946198447637,0.0207595204850964,246341.0,43971662056.0896,139.0,396043.899280576,270759.0,338051.81194553,70177935.15107186,1,0,0,0,0,0,0
2015-01-17,-0.0319673150958506,-0.042607505992283023,0.21122090635730384,-0.09934545992806498,-0.29276657570403053,-0.3244779821538275,-0.3244779821538275,19933.78,4266821337.7936344,0.10207155378879541,0.07169209021379465,0.2239302854191853,0.24949280071891705,0.13115748486227846,0.019924543572347346,0.0,0.0,0.6575466048373665,88416.0,3450.0,2627.5891580684506,0.0199824836645237,272389.0,43971662056.0896,138.0,383297.137681159,323374.0,215272.53081633,43016798.30457989,0,0,1,0,0,0,0
